restaurant_name,online_order,book_table,rate_out_of_5,total_votes,location,rest_type,approx_cost_for_two,type_of_meal
Cocoa Bakes,Yes,No,3.6,14,Banashankari,Bakery,350,Delivery
Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,200,Delivery
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,650,Delivery
SSV Upahar,Yes,No,,0,Jayanagar,Quick Bites,300,Delivery
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,500,Delivery
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,"1,200",Delivery
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,650,Delivery
Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,250,Delivery
Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,Casual Dining,400,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,600,Delivery
Iceberg Icecreams,Yes,No,4.0,43,Basavanagudi,Dessert Parlor,250,Delivery
South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,100,Delivery
Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,850,Delivery
Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,Casual Dining,400,Delivery
Millet Mama,Yes,No,3.9,18,Basavanagudi,Quick Bites,200,Delivery
Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,Quick Bites,100,Delivery
South Cool Point,Yes,No,,0,Basavanagudi,Dessert Parlor,100,Delivery
Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,Casual Dining,400,Delivery
Java City,Yes,No,2.6,157,Jayanagar,Cafe,450,Delivery
Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,Quick Bites,300,Delivery
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,500,Delivery
Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,100,Delivery
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Quick Bites,400,Delivery
Rustic Stove,Yes,No,3.8,577,Jayanagar,Casual Dining,900,Delivery
Udupi Ruchi Grand,Yes,No,4.2,60,Banashankari,Quick Bites,200,Delivery
De Thaali,Yes,No,3.9,144,Jayanagar,Casual Dining,550,Delivery
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,800,Delivery
Just Thindi,Yes,No,3.6,16,Basavanagudi,Quick Bites,200,Delivery
Matru Sagar,Yes,No,3.6,84,Banashankari,Quick Bites,250,Delivery
Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,Quick Bites,150,Delivery
Sea Spice by 7 Star,Yes,Yes,4.0,349,Banashankari,Casual Dining,"1,200",Delivery
Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,Quick Bites,400,Delivery
Cafe Aira,Yes,No,4.1,216,Basavanagudi,Cafe,500,Delivery
Donne Biriyani combos,Yes,No,,0,Kumaraswamy Layout,Casual Dining,400,Delivery
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,700,Delivery
Mast Punjabi,Yes,No,2.6,231,Kumaraswamy Layout,Quick Bites,400,Delivery
South Grand,Yes,No,3.4,102,Uttarahalli,Casual Dining,400,Delivery
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,800,Delivery
The Pizzeria,Yes,No,2.8,45,Banashankari,Casual Dining,800,Delivery
Cafe Zone,Yes,No,3.9,149,Kumaraswamy Layout,Quick Bites,300,Delivery
Ruchis Point,Yes,No,3.8,75,Banashankari,Quick Bites,200,Delivery
Firangi Bake,Yes,No,4.0,53,Rajarajeshwari Nagar,Delivery,600,Delivery
The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,Casual Dining,900,Delivery
Hara Fine Dine,Yes,Yes,4.0,633,Banashankari,Casual Dining,800,Delivery
Chocoberry,Yes,No,3.5,56,Jayanagar,Dessert Parlor,400,Delivery
Dakshin Grand,Yes,No,3.0,82,Banashankari,Quick Bites,300,Delivery
Sandwichwallas,Yes,No,3.7,35,Jayanagar,Quick Bites,200,Delivery
Chai Mane,Yes,No,3.6,20,Basavanagudi,Quick Bites,150,Delivery
SLV Upachar,Yes,No,3.1,14,Kumaraswamy Layout,Quick Bites,250,Delivery
